@relation targetAtiva-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute CCLA_MED numeric
@attribute Cda_MED numeric
@attribute CE_MED numeric
@attribute CHINa_MED numeric
@attribute CLCA_MED numeric
@attribute COMBa_MED numeric
@attribute COMBAa_MED numeric
@attribute CT_CP_MED numeric
@attribute Daa_MED numeric
@attribute Dca_MED numeric
@attribute Dma_MED numeric
@attribute ENDIV_MED numeric
@attribute FUTLa_MED numeric
@attribute GAFa_MED numeric
@attribute GAOa_MED numeric
@attribute GATa_MED numeric
@attribute GIROAa_MED numeric
@attribute GLCAa_MED numeric
@attribute ILNCG_MED numeric
@attribute IMOB_RECa_MED numeric
@attribute INTWOa_MED numeric
@attribute LAA_MED numeric
@attribute LC_MED numeric
@attribute LG_MED numeric
@attribute NCGA_MED numeric
@attribute NCGRa_MED numeric
@attribute NITAa_MED numeric
@attribute OENEG_MED numeric
@attribute PLCT_MED numeric
@attribute PMCRa_MED numeric
@attribute PMPEa_MED numeric
@attribute Raa_MED numeric
@attribute RPLa_MED numeric
@attribute SIZE_MED numeric
@attribute TA_MED numeric
@attribute TLTA_MED numeric
@attribute Tra_MED numeric
@attribute VAR_LL_T_1ANOa_MED numeric
@attribute VAR_REC_T_1ANOa_MED numeric
@attribute WCTA_MED numeric
@attribute DIF_EM_MED numeric
@attribute Target {0,1}

@data
-0.031225,0.244681,1,-1,1.119628,1.059243,1.058518,0.412911,0.325535,0.003745,0.632537,0.515315,0.068678,-0.006337,0.682986,0.826575,1.209812,0.046112,0.326152,0.144074,0,-0.064668,0.863397,1.318435,-0.161645,-0.035272,0.021201,0,0.940561,0,0.19017,0.826979,0.061527,3.760736,0.134464,0.515315,0.095693,-1.854506,0.690936,-0.031225,1,0
-0.244251,0.886259,0.70934,-1,1.732713,0.854442,0.856937,3.095201,0.150435,0.046986,0.597254,0.755812,0.153482,-0.188193,-1.305969,0.760472,1.314973,0.115233,-0.102283,0.416616,1,0.046014,0.57713,0.383123,-0.221587,-0.129611,-0.021064,0,0.323081,14.001132,43.344045,0.365518,-0.072082,3.306303,-0.022665,0.755812,-0.014512,-1.000744,0.425813,-0.244251,1,0
0.577099,?,?,2.128358,0,?,?,0,?,?,?,0,?,0.786838,?,?,?,50.761555,?,?,0,-1.622373,?,?,0,?,50.761555,0,?,?,?,64.513389,50.761555,1.488726,0.577099,0,?,?,?,0.577099,1,0
0.021067,0.662141,0.664006,1,0.935607,0.928432,0.925479,1.100168,0.213834,0.014927,0.725688,0.523848,0.25678,0.349967,-2.627145,0.514526,1.943537,0.147815,1.176603,0.214151,0,0.312171,1.068824,0.975766,-0.133745,-0.069159,0.085823,0,0.908952,15.650232,31.969757,0.527102,0.192866,4.692674,0.14036,0.523848,0.071895,-0.39065,0.13799,0.021067,1,0
-0.207912,?,1,1,30.6513,0.880054,0.848527,0.273762,0,0,0.880054,0.214924,26.374623,1.274684,?,0.377936,2.645954,5.668534,0.032625,0,0,0.785076,0.032625,4.652812,-0.214924,-0.081227,5.668534,0,3.652812,0,33.227324,5.664431,7.220362,4.648091,0.007012,0.214924,0.00265,?,?,-0.207912,1,0
0.355761,?,1,1,0.307118,0,0,0.267872,0,0,0,0.347673,1.22372,1.559483,-8.10011,2.153857,0.464283,0.509485,2.629249,0.449528,0,0.017622,7.288445,3.023537,0.048903,0.197235,0.469987,0,2.399474,94.112548,?,0.357121,0.562121,2.981041,0.257395,0.347673,0.554391,0.056574,-0.028502,0.355761,1,0
0.326456,0.418658,0.437453,1,0.39215,1.029509,0.993664,0.94175,0.233926,0.002806,0.761905,0.485001,0.269806,0.432124,2.689117,0.787259,1.27023,0.132133,8.366749,0.141045,0,0.356098,2.550045,1.675125,-0.020023,-0.015736,0.072548,0,1.061852,20.262736,41.950561,0.410243,0.14311,4.831234,0.374181,0.485001,0.292771,0.307598,0.072435,0.326456,1,0
0.226948,0.057511,1,1,0.753235,0.912984,0.907512,0.945312,0.22614,0,0.695148,0.485944,0.477504,0.372056,-2.252833,0.175386,5.701717,0.309802,1.54042,0.0515,0,0.278239,1.327607,1.327607,-0.208485,-0.056516,0.227232,0,1.057851,0,16.547166,1.439013,0.458353,3.596321,0.558096,0.485944,0.09966,-0.213474,0.173666,0.226948,1,0
0.289687,0.013794,1,1,0.627585,0.798567,0.798441,0.955483,0.563937,0,0.361262,0.485547,-0.375475,0.110878,-223.651361,0.233546,4.28181,-0.285194,1.625611,0.029282,0,0.142961,1.594034,1.594034,-0.338739,-0.105295,-0.33519,0,1.073426,0,0,1.770547,-0.657053,2.563222,0.806954,0.485547,0.171169,-4.647682,0.795697,0.289687,1,0
0.062324,0.168353,0.816145,1,0.860992,0.886721,0.917523,0.262635,0.602035,0,0.22403,0.822825,-0.080655,0.15319,-0.695784,0.482094,?,-0.004154,0.054659,0.118987,0,-0.317232,1.16251,0.830878,0.154153,0.042111,-0.047879,0,0.215416,40.342434,0,0.711864,-0.049041,2.71251,0.008542,0.822825,0.00118,-1.670298,0.590838,0.062324,1,0
-0.043811,0.250463,0.865676,-1,1.061149,0.941441,0.949043,4.348769,0.116571,0.010511,0.822604,0.813041,0.063381,-0.005014,1.76831,0.214564,4.660616,0.050898,-0.108932,0.063631,1,0.170118,0.942375,0.909139,-0.074125,-0.013423,-0.00067,0,0.22995,29.255685,5.271864,0.678713,-0.003403,4.099148,-0.016146,0.813041,-0.004535,3.083851,0.112326,-0.043811,1,0
1,?,?,0.139796,0,?,0,0,?,?,?,0,?,1.026936,?,?,?,2062.262047,?,?,0,-0.29133,?,?,0,?,2062.262047,0,?,?,?,2008.168018,2062.262047,1.674927,1,0,?,1000922.193,?,1,1,0
0.107614,0.047634,0.9735,1,0.880523,0.853195,0.837665,4.200614,0.128928,0.066023,0.643211,0.8304,0.106291,0.44382,-4.243243,0.191667,5.217377,0.084933,1.201187,0.011278,0,0.00366,1.135689,1.15679,-0.570807,-0.091869,0.046885,0,0.204239,14.782151,54.031694,0.576304,0.264103,5.447857,0.59647,0.8304,0.119201,-0.196081,0.146202,0.107614,1,0
0.113805,0.028371,1,1,0.851155,0.897319,0.888414,1.325474,0.424692,0.053203,0.447712,0.56998,1.309006,0.385576,3.032758,0.182227,5.48767,0.594654,0.70643,0.057204,0,0.254158,1.174874,1.174874,0.031417,0.005725,0.393743,0,0.754447,25.664696,17.955339,2.853734,0.869991,2.974208,0.066482,0.56998,0.014361,1.1373,0.210583,0.113805,0,0
0.286777,99.194401,1,1,0.388432,0.656989,0.656989,0.224973,0.092984,0,0.564005,0.183034,1.113034,0.91746,0.86401,1.558343,0.661341,0.250564,2.561817,0.762942,0,0.386972,2.577265,2.577265,-0.125055,-0.154357,0.2117,0,4.547506,43.437595,32.585704,0.296324,0.255504,4.00291,0.281811,0.183034,0.616819,-0.568389,0.594504,0.286777,1,0
